00:54:43.602 [main] INFO  e.s.b.i.i.IntegrationTesting - Starting ...
00:54:44.356 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/field/AbstractReadableInstantFieldProperty.getMillis()J
00:54:44.357 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/field/AbstractReadableInstantFieldProperty.getField()Lorg/joda/time/DateTimeField;
00:54:44.357 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/field/AbstractReadableInstantFieldProperty.getField()Lorg/joda/time/DateTimeField;
00:54:44.357 [main] INFO  e.s.b.i.graphs.cfg.CFGGenerator - Branch pairs are registered.
00:54:44.357 [main] INFO  e.s.b.i.i.IntegrationTesting - Analyzing dependencies...
00:54:44.357 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 2.
00:54:47.311 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
00:54:47.320 [main] INFO  e.s.b.c.t.strategy.MOSuiteStrategy - test generation strategy: MOSuite
00:54:47.324 [main] INFO  e.s.b.i.i.IntegrationTestingUtility - Starting the dependency analysis. The number of detected jar files is 2.
00:54:48.344 [main] INFO  e.s.b.i.i.IntegrationTestingUtility - Analysing dependencies done!
00:54:48.359 [main] INFO  e.s.b.c.t.strategy.MOSuiteStrategy - The number of goals are 0: 
00:54:48.360 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Generating solution in MOSA
00:54:48.830 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Stopping reason: ZeroFitness :                      0 / 0            Finished!
00:54:48.833 [main] INFO  e.s.b.commons.PostProcessUtility - * Minimizing test suite
00:54:48.840 [main] INFO  e.s.b.commons.PostProcessUtility - Generating assertions
00:54:48.943 [main] INFO  e.s.b.commons.PostProcessUtility - * Compiling and checking tests
00:54:48.954 [main] INFO  e.s.b.commons.PostProcessUtility - * Writing JUnit test case 'LocalTime$Property_ESTest' to results/botsing/time-14-org.joda.time.field.AbstractReadableInstantFieldProperty-org.joda.time.LocalTime$Property-29
00:54:48.974 [main] INFO  e.s.b.i.i.IntegrationTesting - The solution test is saved!
