01:07:33.044 [main] INFO  e.s.b.i.i.IntegrationTesting - Starting ...
01:07:34.884 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getValue(I)I
01:07:34.884 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
01:07:34.884 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getFieldType(I)Lorg/joda/time/DateTimeFieldType;
01:07:34.884 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
01:07:34.884 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getValue(I)I
01:07:34.884 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
01:07:34.885 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
01:07:34.886 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
01:07:34.886 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
01:07:34.887 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getFieldType(I)Lorg/joda/time/DateTimeFieldType;
01:07:34.887 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getValue(I)I
01:07:34.887 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getValue(I)I
01:07:34.887 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getValue(I)I
01:07:34.887 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getFieldType(I)Lorg/joda/time/DateTimeFieldType;
01:07:34.887 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.size()I
01:07:34.887 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getField(ILorg/joda/time/Chronology;)Lorg/joda/time/DateTimeField;
01:07:34.887 [main] WARN  e.s.b.i.graphs.cfg.CFGGenerator - There is no branch fo call_site INVOKEVIRTUAL org/joda/time/base/AbstractPartial.getChronology()Lorg/joda/time/Chronology;
01:07:34.888 [main] INFO  e.s.b.i.graphs.cfg.CFGGenerator - Branch pairs are registered.
01:07:34.888 [main] INFO  e.s.b.i.i.IntegrationTesting - Analyzing dependencies...
01:07:34.888 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 2.
01:07:39.309 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
01:07:39.321 [main] INFO  e.s.b.c.t.strategy.MOSuiteStrategy - test generation strategy: MOSuite
01:07:39.325 [main] INFO  e.s.b.i.i.IntegrationTestingUtility - Starting the dependency analysis. The number of detected jar files is 2.
01:07:40.696 [main] INFO  e.s.b.i.i.IntegrationTestingUtility - Analysing dependencies done!
01:07:40.714 [main] INFO  e.s.b.c.t.strategy.MOSuiteStrategy - The number of goals are 0: 
01:07:40.714 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Generating solution in MOSA
01:07:41.885 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Stopping reason: ZeroFitness :                      0 / 0            Finished!
01:07:41.909 [main] INFO  e.s.b.commons.PostProcessUtility - * Minimizing test suite
01:07:41.916 [main] INFO  e.s.b.commons.PostProcessUtility - Generating assertions
01:07:42.420 [main] INFO  e.s.b.commons.PostProcessUtility - * Compiling and checking tests
01:07:42.430 [main] INFO  e.s.b.commons.PostProcessUtility - * Writing JUnit test case 'Partial_ESTest' to results/botsing/time-14-org.joda.time.base.AbstractPartial-org.joda.time.Partial-29
01:07:42.776 [main] INFO  e.s.b.i.i.IntegrationTesting - The solution test is saved!
